customer_id,signup_date,age,gender,city,acquisition_channel,customer_segment
C00001,2025-07-28,56,Female,Ahmedabad,Referral,Budget
C00002,2023-09-24,36,Male,Ahmedabad,Google,Budget
C00003,2024-06-24,20,Male,Delhi,Organic Search,VIP
C00004,2024-04-28,19,Male,Chennai,Referral,Regular
C00005,2025-11-12,61,Male,Lucknow,Instagram,VIP
C00006,2025-09-07,32,Male,Bangalore,Google,VIP
C00007,2026-05-01,20,Female,Kolkata,Instagram,Budget
C00008,2023-12-01,21,Female,Delhi,Google,Budget
C00009,2024-12-02,19,Female,Kolkata,Referral,Premium
C00010,2023-09-29,52,Female,Hyderabad,Instagram,Premium
C00011,2024-04-23,23,Male,Hyderabad,Instagram,VIP
C00012,2025-03-03,43,Male,Lucknow,Direct,Regular
C00013,2023-09-26,32,Male,Kolkata,Referral,VIP
C00014,2024-04-01,38,Male,Delhi,Referral,Regular
C00015,2025-08-09,42,Male,Jaipur,Google,Budget
C00016,2025-04-16,42,Other,Ahmedabad,Google,Regular
C00017,2024-04-25,28,Male,Ahmedabad,Organic Search,Premium
C00018,2025-06-03,22,Female,Lucknow,Instagram,Premium
C00019,2026-01-31,25,Male,Mumbai,Instagram,Regular
C00020,2023-09-04,41,Female,Ahmedabad,Google,Regular
C00021,2026-01-27,52,Male,Bangalore,Organic Search,Regular
C00022,2025-10-01,31,Female,Jaipur,Organic Search,Budget
C00023,2024-09-03,30,Male,Kolkata,YouTube,Regular
C00024,2024-02-14,21,Female,Kolkata,Referral,Regular
C00025,2026-07-12,46,Male,Kolkata,Google,Budget
C00026,2024-08-30,19,Female,Jaipur,Instagram,Regular
C00027,2023-12-07,61,Male,Lucknow,Instagram,Regular
C00028,2023-12-12,50,Male,Jaipur,Organic Search,Premium
C00029,2026-03-13,56,Male,Jaipur,YouTube,Regular
C00030,2025-06-19,59,Male,Pune,Instagram,Regular
C00031,2026-01-28,29,Male,Delhi,Organic Search,Budget
C00032,2025-11-04,34,Male,Delhi,YouTube,Budget
C00033,2025-04-06,54,Male,Mumbai,Google,Budget
C00034,2026-07-29,61,Male,Pune,Google,Regular
C00035,2024-10-15,28,Male,Mumbai,Organic Search,Regular
C00036,2025-04-24,51,Female,Mumbai,Instagram,Regular
C00037,2026-02-22,33,Male,Hyderabad,Google,Budget
C00038,2025-07-05,43,Female,Bangalore,Google,Budget
C00039,2026-03-29,58,Female,Kolkata,Direct,Budget
C00040,2025-05-21,45,Female,Delhi,Direct,Premium
C00041,2025-10-08,52,Male,Lucknow,Direct,Regular
C00042,2023-10-17,19,Other,Chennai,Direct,Regular
C00043,2024-05-03,26,Male,Bangalore,Organic Search,Premium
C00044,2024-07-10,41,Male,Mumbai,Referral,Budget
C00045,2023-11-23,25,Female,Ahmedabad,Referral,Budget
C00046,2024-05-09,42,Female,Delhi,Instagram,Regular
C00047,2023-12-16,52,Female,Jaipur,Instagram,Budget
C00048,2024-06-27,31,Male,Hyderabad,Google,Premium
C00049,2025-07-24,20,Female,Mumbai,Referral,Regular
C00050,2024-09-30,39,Male,Pune,Direct,Regular
C00051,2024-10-06,25,Female,Delhi,Google,Regular
C00052,2024-04-13,64,Female,Chennai,Google,Regular
C00053,2024-06-15,21,Male,Mumbai,Instagram,VIP
C00054,2026-06-19,47,Female,Chennai,Direct,Premium
C00055,2025-08-07,54,Female,Mumbai,Referral,Regular
C00056,2025-06-25,50,Male,Chennai,Instagram,Regular
C00057,2024-03-02,20,Male,Jaipur,Google,Premium
C00058,2025-11-04,20,Female,Ahmedabad,Instagram,Regular
C00059,2024-02-23,40,Male,Lucknow,Direct,Premium
C00060,2024-10-16,50,Male,Pune,Google,Regular
C00061,2026-08-16,43,Female,Jaipur,Referral,Budget
C00062,2025-07-29,24,Female,Hyderabad,Referral,Premium
C00063,2025-04-29,33,Male,Bangalore,Google,Regular
C00064,2025-09-16,19,Male,Pune,Google,Budget
C00065,2026-03-08,39,Female,Pune,Google,Budget
C00066,2025-12-25,32,Male,Chennai,Referral,Premium
C00067,2024-05-05,61,Other,Kolkata,Instagram,Budget
C00068,2023-10-02,47,Female,Kolkata,Instagram,Budget
C00069,2024-08-07,59,Male,Mumbai,Google,Regular
C00070,2024-06-16,43,Male,Chennai,Instagram,Regular
C00071,2024-04-15,29,Male,Lucknow,Direct,Regular
C00072,2026-06-26,49,Female,Jaipur,Referral,Regular
C00073,2026-04-14,33,Female,Chennai,Referral,Regular
