date,revenue,product_cost,marketing_expense,operating_expense,shipping_expense,other_expense,gross_profit,operating_profit,profit_margin
2025-01-01,258548.62,139313.07,27897.57,31025.8344,10341.9448,5170.9724,119235.54999999999,44799.228399999985,0.17327196873067816
2025-01-02,240853.16,130171.21,26525.67,28902.3792,9634.126400000001,4817.0632000000005,110681.95,40802.711200000005,0.1694090756376209
2025-01-03,375160.34,207798.15,26916.36,45019.2408,15006.413600000002,7503.206800000001,167362.19000000003,72916.96880000002,0.19436214606266752
2025-01-04,216592.14,118719.16,26707.7,25991.056800000002,8663.6856,4331.8428,97872.98000000001,32178.694800000012,0.1485681557973434
2025-01-05,224565.84,118755.93,24203.34,26947.9008,8982.6336,4491.3168,105809.91,41184.7188,0.18339707766773433
2025-01-06,332124.74,176451.27,26768.83,39854.968799999995,13284.9896,6642.4948,155673.47,69122.18680000001,0.20812116194656263
2025-01-07,283707.22000000003,151412.33,27973.41,34044.8664,11348.288800000002,5674.144400000001,132294.89000000004,53254.18040000004,0.18770823104184672
2025-01-08,380379.52,200073.06,60673.62,45645.5424,15215.180800000002,7607.590400000001,180306.46000000002,51164.52640000002,0.13450915128133084
2025-01-09,347702.84,191642.71,53284.34,41724.3408,13908.1136,6954.0568,156060.13000000003,40189.27880000004,0.11558513240789185
2025-01-10,313024.14,163385.8,59466.55,37562.8968,12520.965600000001,6260.482800000001,149638.34000000003,33827.44480000002,0.10806656892340641
2025-01-11,197533.3,106639.42,60528.39,23703.996,7901.331999999999,3950.6659999999997,90893.87999999999,-5190.504000000008,-0.026276602476645754
2025-01-12,165859.55,93275.34,59097.240000000005,19903.145999999997,6634.382,3317.191,72584.20999999999,-16367.74900000001,-0.09868439290954312
2025-01-13,422763.61,220036.78,54911.32,50731.6332,16910.5444,8455.2722,202726.83,71718.06019999998,0.1696410440813484
2025-01-14,288316.73,157544.59,60779.61,34598.0076,11532.6692,5766.3346,130772.13999999998,18095.51859999999,0.06276263815838917
2025-01-15,392932.52,214433.19,61489.630000000005,47151.9024,15717.3008,7858.6504,178499.33000000002,46281.846400000024,0.11778573684865794
2025-01-16,260247.79,145118.76,57070.16,31229.7348,10409.911600000001,5204.955800000001,115129.03,11214.267799999998,0.04309073210573661
2025-01-17,286836.06,150729.12,65539.95,34420.3272,11473.4424,5736.7212,136106.94,18936.499200000006,0.06601854453027979
2025-01-18,260673.88,141116.4,66268.66,31280.8656,10426.9552,5213.4776,119557.48000000001,6367.5216000000055,0.024427156261302457
2025-01-19,153204.05,80388.05,40229.479999999996,18384.485999999997,6128.161999999999,3064.0809999999997,72815.99999999999,5009.790999999994,0.03270012117825863
2025-01-20,234493.3,124616.71,39177.12,28139.195999999996,9379.732,4689.866,109876.58999999998,28490.67599999997,0.12149889143954208
2025-01-21,347177.0,186453.46,41774.24,41661.24,13887.08,6943.54,160723.54,56457.440000000024,0.16261860664732983
2025-01-22,293117.16,157441.77,40547.880000000005,35174.059199999996,11724.686399999999,5862.343199999999,135675.38999999998,42366.42119999998,0.14453749893046175
