campaign_id,date,impressions,clicks,conversions,spend,revenue_generated
CAM001,2025-04-12,23571,394,13,7542.85,18157.77
CAM001,2025-04-13,24002,444,12,7680.81,19570.55
CAM001,2025-04-14,25347,454,13,8111.06,20372.79
CAM001,2025-04-15,23050,416,13,7376.19,18428.26
CAM001,2025-04-16,25749,472,15,8239.72,23471.61
CAM001,2025-04-17,22890,385,11,7324.97,17818.78
CAM001,2025-04-18,26043,446,13,8333.78,20181.46
CAM001,2025-04-19,24282,410,13,7770.35,21676.31
CAM001,2025-04-20,21999,371,12,7039.88,19188.52
CAM001,2025-04-21,24684,407,13,7898.94,20919.64
CAM001,2025-04-22,24429,452,13,7817.5,18855.22
CAM001,2025-04-23,23394,415,12,7486.4,20880.7
CAM001,2025-04-24,23111,406,12,7395.66,18289.5
CAM001,2025-04-25,21892,372,12,7005.63,16728.51
CAM001,2025-04-26,21565,342,10,6900.98,13687.88
CAM002,2025-12-19,141869,1796,44,39723.56,109444.08
CAM002,2025-12-20,157367,1982,52,44062.99,147765.86
CAM002,2025-12-21,145547,1773,43,40753.34,127504.76
CAM002,2025-12-22,163428,2035,52,45759.93,145236.51
CAM002,2025-12-23,143053,1879,42,40054.99,106066.58
CAM002,2025-12-24,160358,1999,50,44900.26,125278.0
CAM002,2025-12-25,143318,1971,45,40129.14,126949.62
CAM002,2025-12-26,164863,1883,44,46161.9,126146.39
CAM002,2025-12-27,155594,2154,51,43566.58,146125.88
CAM002,2025-12-28,171955,2108,53,48147.55,138496.82
CAM002,2025-12-29,145797,1768,43,40823.23,106956.62
CAM003,2026-07-26,57541,2053,129,25893.57,435469.55
CAM003,2026-07-27,49406,1740,130,22232.87,338103.35
CAM003,2026-07-28,50313,1725,116,22641.17,297063.88
CAM003,2026-07-29,54892,1909,133,24701.53,435943.39
CAM003,2026-07-30,55280,2089,131,24876.21,413742.47
CAM003,2026-07-31,58215,2199,140,26196.81,480829.44
CAM003,2026-08-01,51496,1687,109,23173.26,338040.87
CAM003,2026-08-02,55536,2043,147,24991.48,450492.42
CAM003,2026-08-03,52668,1960,148,23701.03,397113.8
CAM003,2026-08-04,55101,1956,140,24795.72,426904.13
CAM003,2026-08-05,55792,2146,160,25106.72,522410.0
CAM003,2026-08-06,55684,1837,118,25057.96,398759.88
CAM003,2026-08-07,54176,1865,130,24379.59,357385.37
CAM003,2026-08-08,55639,1951,127,25037.6,359072.55
CAM003,2026-08-09,54599,1899,145,24569.68,373355.27
CAM003,2026-08-10,56671,2064,151,25502.1,495755.55
CAM003,2026-08-11,57957,1972,140,26081.06,480519.9
CAM003,2026-08-12,52491,1744,117,23621.19,398361.96
CAM003,2026-08-13,56015,1954,145,25207.16,455393.61
CAM004,2025-09-14,21679,830,60,9755.9,150821.39
CAM004,2025-09-15,19241,706,58,8658.9,147979.62
CAM004,2025-09-16,20988,915,76,9444.87,164603.8
CAM004,2025-09-17,19081,703,56,8586.66,135911.74
CAM004,2025-09-18,22189,824,64,9985.36,171892.69
CAM004,2025-09-19,21603,904,79,9721.66,198775.27
CAM004,2025-09-20,23002,981,86,10351.31,229438.93
CAM004,2025-09-21,23004,842,73,10351.93,191584.56
CAM004,2025-09-22,18972,790,63,8537.66,163198.01
CAM004,2025-09-23,20247,859,75,9111.27,168500.73
CAM004,2025-09-24,20520,832,63,9234.1,155549.53
