order_item_id,order_id,product_id,quantity,unit_price
OI0000001,O000001,P0065,2,915.66
OI0000002,O000002,P0064,2,1054.28
OI0000003,O000003,P0028,1,3092.58
OI0000004,O000003,P0063,1,3543.0
OI0000005,O000003,P0072,2,2115.18
OI0000006,O000004,P0015,1,3869.46
OI0000007,O000004,P0070,1,3579.27
OI0000008,O000005,P0053,1,5799.8
OI0000009,O000006,P0070,2,3640.13
OI0000010,O000006,P0027,1,2146.62
OI0000011,O000007,P0047,1,2861.64
OI0000012,O000008,P0007,1,2407.23
OI0000013,O000009,P0035,2,1229.16
OI0000014,O000010,P0003,1,2446.5
OI0000015,O000011,P0044,1,3477.95
OI0000016,O000011,P0037,3,1659.74
OI0000017,O000012,P0064,2,1050.34
OI0000018,O000012,P0066,3,5033.68
OI0000019,O000013,P0004,1,5527.61
OI0000020,O000013,P0074,2,4872.67
OI0000021,O000014,P0081,3,2231.22
OI0000022,O000014,P0036,2,3905.97
OI0000023,O000015,P0091,1,1204.63
OI0000024,O000015,P0050,1,4495.3
OI0000025,O000016,P0043,1,818.53
OI0000026,O000016,P0094,1,2900.01
OI0000027,O000017,P0004,1,5651.81
OI0000028,O000019,P0064,3,1043.07
OI0000029,O000020,P0021,2,2358.74
OI0000030,O000020,P0039,1,3059.67
OI0000031,O000020,P0085,2,1177.73
OI0000032,O000021,P0095,1,1660.61
OI0000033,O000022,P0018,2,3778.38
OI0000034,O000023,P0008,2,4692.31
OI0000035,O000024,P0001,1,1164.61
OI0000036,O000025,P0008,1,4650.97
OI0000037,O000025,P0076,1,2450.68
OI0000038,O000026,P0017,2,4082.66
OI0000039,O000026,P0041,1,1569.73
OI0000040,O000026,P0034,1,2828.98
OI0000041,O000027,P0079,1,3901.29
OI0000042,O000028,P0093,1,2352.38
OI0000043,O000029,P0066,1,4937.96
OI0000044,O000029,P0057,1,1980.87
OI0000045,O000030,P0076,1,2486.5
OI0000046,O000031,P0082,1,1553.46
OI0000047,O000032,P0012,1,807.44
OI0000048,O000032,P0051,1,2193.33
OI0000049,O000033,P0027,1,2187.06
OI0000050,O000034,P0022,1,674.67
OI0000051,O000034,P0052,2,3100.08
OI0000052,O000035,P0041,1,1572.22
OI0000053,O000036,P0075,1,2566.31
OI0000054,O000038,P0082,1,1607.9
OI0000055,O000038,P0036,1,3968.23
OI0000056,O000039,P0066,2,4970.98
OI0000057,O000039,P0073,2,3652.95
OI0000058,O000039,P0032,1,1895.43
OI0000059,O000040,P0010,3,1401.87
OI0000060,O000042,P0010,2,1447.94
OI0000061,O000042,P0086,1,1280.25
OI0000062,O000043,P0044,1,3410.0
OI0000063,O000044,P0043,1,806.15
OI0000064,O000045,P0053,1,5711.43
OI0000065,O000045,P0067,1,2382.35
OI0000066,O000046,P0035,2,1246.24
OI0000067,O000046,P0006,2,4268.09
OI0000068,O000047,P0092,1,2095.18
OI0000069,O000048,P0034,2,2808.55
OI0000070,O000050,P0028,3,3101.04
OI0000071,O000051,P0084,1,1341.49
OI0000072,O000052,P0023,1,1500.46
OI0000073,O000053,P0059,1,3213.31
OI0000074,O000054,P0002,2,871.51
OI0000075,O000054,P0096,1,1459.38
OI0000076,O000055,P0060,3,3234.69
OI0000077,O000056,P0056,1,548.38
OI0000078,O000057,P0047,1,2933.57
OI0000079,O000057,P0090,1,1667.04
OI0000080,O000058,P0082,2,1618.02
OI0000081,O000058,P0021,1,2334.98
OI0000082,O000058,P0090,2,1650.2
OI0000083,O000059,P0025,1,618.46
OI0000084,O000062,P0028,1,3196.15
OI0000085,O000063,P0020,1,2445.16
OI0000086,O000064,P0063,1,3545.13
OI0000087,O000064,P0078,1,3469.13
OI0000088,O000065,P0015,1,3835.79
OI0000089,O000066,P0059,1,3153.9
OI0000090,O000066,P0021,1,2423.03
OI0000091,O000067,P0071,1,1291.88
OI0000092,O000067,P0090,1,1689.24
OI0000093,O000069,P0044,1,3342.98
OI0000094,O000071,P0038,1,2116.21
OI0000095,O000072,P0094,1,2899.64
OI0000096,O000073,P0011,1,2737.39
OI0000097,O000073,P0061,1,3142.92
OI0000098,O000074,P0036,1,4028.86
OI0000099,O000074,P0007,1,2501.0
OI0000100,O000074,P0086,1,1339.27
OI0000101,O000076,P0008,1,4723.12
OI0000102,O000076,P0075,2,2571.88
OI0000103,O000077,P0007,1,2456.06
OI0000104,O000077,P0010,1,1418.26
OI0000105,O000077,P0015,1,3914.06
OI0000106,O000078,P0042,1,3773.09
OI0000107,O000079,P0086,1,1309.63
OI0000108,O000079,P0063,3,3566.06
OI0000109,O000080,P0050,1,4603.95
OI0000110,O000081,P0001,1,1151.88
OI0000111,O000081,P0053,2,5712.77
OI0000112,O000082,P0075,1,2542.2
OI0000113,O000083,P0071,1,1263.66
OI0000114,O000084,P0032,1,1905.8
OI0000115,O000084,P0015,2,3800.43
OI0000116,O000085,P0062,1,1317.28
OI0000117,O000086,P0060,1,3276.5
OI0000118,O000087,P0006,1,4395.9
OI0000119,O000090,P0003,1,2431.63
OI0000120,O000090,P0067,1,2410.18
OI0000121,O000091,P0011,1,2736.65
