order_id,customer_id,order_date,order_status,payment_method,discount_amount,shipping_cost
O000001,C09778,2026-06-03,Completed,Debit Card,4.06,115.43
O000002,C08348,2025-10-03,Completed,Credit Card,89.4,79.22
O000003,C01610,2026-05-22,Completed,COD,12.73,48.75
O000004,C05213,2026-02-19,Returned,Credit Card,93.97,128.0
O000005,C04243,2025-03-30,In Transit,Debit Card,48.57,76.12
O000006,C09923,2025-01-31,Completed,Credit Card,15.63,119.99
O000007,C09653,2025-05-12,Completed,Debit Card,19.63,62.59
O000008,C01278,2025-09-11,Completed,UPI,80.15,73.91
O000009,C09111,2026-06-30,Completed,Debit Card,15.2,42.71
O000010,C01979,2025-01-18,Completed,Credit Card,8.65,52.78
O000011,C03231,2026-01-05,Completed,UPI,142.69,143.53
O000012,C03572,2026-06-24,Completed,UPI,99.69,78.71
O000013,C02906,2026-08-16,Completed,UPI,177.89,140.08
O000014,C08566,2026-08-28,Completed,UPI,57.44,142.38
O000015,C03332,2026-03-11,Completed,Debit Card,5.7,64.73
O000016,C08196,2026-08-19,Completed,UPI,30.84,119.12
O000017,C09951,2026-01-28,Completed,Credit Card,131.63,122.99
O000019,C03504,2026-02-02,Completed,COD,35.69,70.48
O000020,C07138,2025-05-08,Completed,Credit Card,41.1,109.13
O000021,C05347,2025-09-05,In Transit,UPI,89.96,58.75
O000022,C07899,2026-05-03,Completed,Credit Card,144.36,122.57
O000023,C01536,2025-06-04,Completed,UPI,86.88,64.4
O000024,C06404,2025-07-08,Completed,Credit Card,178.03,47.81
O000025,C07766,2026-07-17,Completed,UPI,4.39,141.1
O000026,C07627,2025-12-19,Completed,Debit Card,171.11,45.9
O000027,C09644,2026-03-15,Completed,COD,107.12,93.55
O000028,C00603,2025-11-10,Completed,UPI,70.58,91.98
O000029,C03501,2026-08-18,In Transit,UPI,16.05,113.51
O000030,C04780,2025-03-08,Completed,Debit Card,61.41,57.02
O000031,C03140,2026-06-09,Completed,Credit Card,159.59,79.4
O000032,C03140,2026-06-11,In Transit,UPI,73.15,96.01
O000033,C01793,2026-05-03,Completed,COD,59.52,86.72
O000034,C08161,2026-02-03,Completed,Credit Card,52.67,115.58
O000035,C09104,2026-08-08,Completed,Credit Card,128.2,71.97
O000036,C00838,2026-02-16,Completed,Debit Card,46.77,70.87
O000038,C02318,2026-08-13,Completed,COD,103.3,106.03
O000039,C05094,2026-04-15,Completed,Debit Card,69.85,90.47
O000040,C07953,2026-03-21,Completed,Debit Card,32.01,61.33
O000042,C06390,2025-05-29,Completed,Debit Card,63.48,63.31
O000043,C01504,2026-05-14,Completed,Credit Card,6.53,53.27
O000044,C09723,2025-07-23,Completed,UPI,169.84,93.42
O000045,C09018,2026-08-06,Completed,UPI,22.04,98.49
O000046,C09511,2025-12-04,Completed,Debit Card,82.07,138.38
O000047,C01069,2026-05-04,Returned,UPI,28.03,86.12
O000048,C04894,2026-03-23,Completed,Credit Card,91.33,90.11
O000050,C06019,2025-09-22,Cancelled,UPI,38.57,101.95
O000051,C02358,2026-04-28,Completed,UPI,131.7,136.75
O000052,C07731,2025-05-27,Completed,Debit Card,113.18,143.13
O000053,C06463,2025-05-20,In Transit,UPI,29.23,108.53
O000054,C05738,2025-12-12,Returned,Credit Card,29.69,146.45
O000055,C08281,2026-04-02,In Transit,UPI,40.02,88.15
O000056,C05008,2025-10-13,Completed,UPI,93.99,76.83
O000057,C02737,2026-02-18,Completed,COD,72.09,91.95
O000058,C06223,2026-03-16,Completed,Credit Card,8.14,133.26
O000059,C09584,2026-05-05,Completed,COD,13.32,122.97
O000062,C09372,2026-07-21,Completed,UPI,68.35,128.61
O000063,C05163,2026-05-24,Completed,Credit Card,42.35,118.41
O000064,C09969,2026-08-14,Completed,Debit Card,126.12,53.18
O000065,C01605,2025-10-02,Completed,Credit Card,39.85,87.01
O000066,C05387,2026-07-21,Completed,Debit Card,70.26,92.02
O000067,C02172,2026-03-20,In Transit,UPI,116.3,145.93
O000069,C01735,2026-07-13,Completed,Credit Card,84.6,132.65
O000071,C02154,2025-01-01,In Transit,UPI,128.7,149.91
O000072,C03234,2026-07-16,Cancelled,UPI,80.69,101.71
O000073,C01351,2026-04-19,Returned,UPI,69.41,105.63
O000074,C08130,2025-10-20,Completed,Credit Card,85.44,83.59
O000076,C04187,2026-01-16,Completed,UPI,40.43,46.98
O000077,C00167,2025-12-10,Completed,COD,24.16,81.23
O000078,C01059,2026-01-10,Completed,UPI,144.81,117.66
O000079,C08994,2026-02-14,Completed,UPI,57.31,56.51
O000080,C08400,2026-05-13,Completed,COD,141.45,113.66
O000081,C08438,2026-01-11,Completed,UPI,49.73,118.19
O000082,C04135,2026-08-13,In Transit,Debit Card,138.12,116.28
O000083,C01419,2026-08-30,Completed,UPI,7.92,81.89
O000084,C01088,2025-10-13,Completed,UPI,87.3,42.83
O000085,C06073,2025-03-31,Completed,Credit Card,95.45,107.02
O000086,C08311,2026-07-24,Completed,COD,128.36,44.33
O000087,C09029,2026-04-11,In Transit,UPI,25.26,50.49
O000090,C01032,2026-02-15,Completed,UPI,33.29,85.69
O000091,C07774,2025-11-08,Completed,Credit Card,53.73,91.1
O000092,C02800,2025-09-05,Completed,COD,76.55,129.15
O000093,C04824,2025-12-22,Completed,UPI,24.76,110.11
O000094,C09305,2026-04-24,Completed,UPI,48.97,42.08
O000095,C07544,2026-01-10,Cancelled,COD,141.18,135.55
O000096,C00551,2026-05-06,Completed,Debit Card,103.37,143.65
O000098,C07910,2025-06-23,Completed,Credit Card,171.13,140.68
O000099,C05546,2025-01-13,In Transit,Credit Card,54.63,91.54
O000100,C07233,2026-08-05,In Transit,UPI,29.2,66.28
O000101,C01581,2025-12-15,Completed,COD,34.82,70.88
O000102,C08752,2026-05-08,Completed,Credit Card,44.29,54.51
O000103,C07762,2026-06-03,Completed,UPI,2.01,106.8
O000104,C08940,2026-06-26,Completed,Credit Card,42.48,137.22
O000105,C03445,2025-06-15,Completed,Debit Card,21.23,118.98
O000106,C02800,2026-07-10,Completed,UPI,113.22,74.76
O000107,C01526,2026-03-09,Cancelled,Credit Card,53.92,50.53
O000108,C09317,2026-06-11,Completed,UPI,24.85,145.97
O000109,C01800,2026-05-01,Completed,Credit Card,59.29,72.85
